               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.05448,             0.15669,            0.022851,             0.66849,             0.33354,             0.37019,             0.21483,            0.059701,             0.28559,            0.027729,           0.0094258,           0.0094258,           0.0094258
                  60,            0.054206,             0.15101,            0.022938,             0.67289,             0.34216,             0.37511,             0.22114,            0.059462,               0.285,            0.027518,           0.0094159,           0.0094159,           0.0094159
                  61,            0.053899,             0.15182,            0.022376,             0.65441,             0.35076,             0.37668,             0.21983,            0.059624,              0.2852,            0.027384,            0.009406,            0.009406,            0.009406
                  62,            0.053803,             0.15026,            0.022334,             0.63666,             0.33936,             0.36753,             0.21576,            0.059748,             0.28655,            0.027609,           0.0093961,           0.0093961,           0.0093961
                  63,            0.053888,             0.14723,            0.022399,             0.65148,             0.34224,             0.37609,             0.22239,            0.059489,             0.28531,             0.02751,           0.0093862,           0.0093862,           0.0093862
                  64,            0.053884,             0.14686,            0.022508,             0.60052,             0.35053,             0.37501,             0.21974,              0.0596,             0.28642,            0.027622,           0.0093763,           0.0093763,           0.0093763
                  65,            0.053931,             0.14952,            0.022373,               0.627,             0.34615,             0.37411,             0.22274,             0.05955,             0.28581,            0.027628,           0.0093664,           0.0093664,           0.0093664
                  66,            0.053573,              0.1473,            0.022251,             0.64172,             0.34406,             0.37691,             0.21834,            0.059652,             0.28741,            0.027584,           0.0093565,           0.0093565,           0.0093565
                  67,            0.053401,             0.14989,            0.022025,             0.59677,             0.34022,             0.37327,             0.22123,             0.05965,             0.28655,            0.027733,           0.0093466,           0.0093466,           0.0093466
                  68,            0.053522,             0.14371,            0.021949,             0.67355,             0.35436,             0.38064,             0.22291,            0.059569,             0.28583,            0.027413,           0.0093367,           0.0093367,           0.0093367
                  69,            0.053353,             0.15004,            0.021861,             0.66788,             0.34654,             0.38182,             0.21881,            0.059387,             0.28576,             0.02748,           0.0093268,           0.0093268,           0.0093268
                  70,            0.053297,             0.14462,            0.021863,             0.62274,             0.34833,             0.38191,             0.21942,            0.059377,             0.28612,            0.027548,           0.0093169,           0.0093169,           0.0093169
                  71,            0.053131,              0.1517,             0.02181,             0.61845,             0.35296,             0.38454,             0.22715,            0.058918,             0.28517,            0.027161,            0.009307,            0.009307,            0.009307
                  72,            0.052963,             0.14541,            0.021543,             0.61709,             0.34864,             0.38203,             0.22655,            0.059175,             0.28623,            0.027397,           0.0092971,           0.0092971,           0.0092971
                  73,            0.052724,              0.1442,             0.02149,             0.62165,             0.34596,             0.38036,             0.22291,            0.059464,             0.28624,            0.027476,           0.0092872,           0.0092872,           0.0092872
                  74,            0.053137,             0.14738,             0.02172,               0.615,             0.35406,             0.38105,             0.22383,            0.059157,             0.28771,            0.027421,           0.0092773,           0.0092773,           0.0092773
                  75,            0.052971,              0.1513,            0.021677,             0.70711,             0.34554,             0.38101,             0.22354,            0.059243,             0.28752,            0.027329,           0.0092674,           0.0092674,           0.0092674
                  76,            0.052955,             0.15005,            0.021471,             0.60947,             0.35346,             0.37846,             0.22064,            0.059444,             0.28752,            0.027594,           0.0092575,           0.0092575,           0.0092575
                  77,            0.052722,              0.1518,            0.021405,             0.62833,             0.34896,             0.37803,             0.22039,            0.059116,             0.28453,             0.02756,           0.0092476,           0.0092476,           0.0092476
                  78,            0.052211,             0.14431,            0.021207,              0.6007,             0.35493,             0.38225,             0.22387,            0.059221,             0.28807,            0.027611,           0.0092377,           0.0092377,           0.0092377
                  79,            0.052215,             0.14102,            0.021023,             0.60082,              0.3513,             0.38013,             0.22688,            0.059247,             0.28713,            0.027654,           0.0092278,           0.0092278,           0.0092278
                  80,             0.05271,             0.15138,            0.021438,             0.65285,             0.34534,             0.38317,             0.22631,            0.059247,             0.28805,            0.027519,           0.0092179,           0.0092179,           0.0092179
                  81,            0.052539,             0.14437,            0.021058,             0.60285,              0.3548,             0.38305,             0.22655,            0.058976,             0.28674,            0.027279,            0.009208,            0.009208,            0.009208
                  82,            0.052818,             0.15336,            0.021221,             0.60495,             0.36324,             0.38202,             0.22559,            0.059045,              0.2904,            0.027559,           0.0091981,           0.0091981,           0.0091981
                  83,            0.052126,             0.14917,            0.021057,             0.62051,              0.3531,             0.38357,             0.22569,            0.059075,             0.28853,            0.027484,           0.0091882,           0.0091882,           0.0091882
                  84,            0.052093,             0.14411,             0.02087,             0.64386,             0.35735,             0.38657,              0.2296,            0.059002,             0.28817,            0.027485,           0.0091783,           0.0091783,           0.0091783
                  85,            0.051967,             0.14707,            0.020761,             0.60825,             0.35912,             0.38504,             0.22829,            0.058881,             0.28894,            0.027587,           0.0091684,           0.0091684,           0.0091684
                  86,            0.051898,             0.14683,            0.020783,             0.62725,             0.35565,             0.38632,             0.23042,            0.059131,             0.28935,            0.027499,           0.0091585,           0.0091585,           0.0091585
                  87,            0.051987,             0.13941,            0.020714,             0.64956,             0.35175,             0.38529,             0.22884,            0.059485,              0.2883,            0.027379,           0.0091486,           0.0091486,           0.0091486
                  88,            0.051658,             0.14096,            0.020647,             0.62033,             0.35697,             0.38423,             0.22632,            0.059131,             0.29027,            0.027499,           0.0091387,           0.0091387,           0.0091387
                  89,            0.051941,             0.14702,            0.020739,             0.66822,             0.35566,             0.38454,             0.22552,            0.059169,             0.28805,            0.027486,           0.0091288,           0.0091288,           0.0091288
                  90,            0.051673,             0.14417,            0.020484,             0.64802,             0.34625,             0.38138,             0.22556,            0.059188,             0.28842,             0.02751,           0.0091189,           0.0091189,           0.0091189
                  91,             0.05197,             0.14582,            0.020673,             0.60571,             0.35747,             0.38198,             0.22567,            0.059334,             0.29079,            0.027418,            0.009109,            0.009109,            0.009109
                  92,            0.051491,             0.14351,             0.02048,             0.60766,             0.35703,             0.38331,             0.22626,            0.059105,             0.29064,            0.027513,           0.0090991,           0.0090991,           0.0090991
                  93,            0.051438,             0.14506,            0.020252,             0.60432,             0.36628,             0.38822,             0.22642,            0.059012,             0.28935,            0.027433,           0.0090892,           0.0090892,           0.0090892
                  94,            0.051367,              0.1441,            0.020231,             0.61149,             0.36168,             0.38967,              0.2325,            0.059027,             0.28949,            0.027506,           0.0090793,           0.0090793,           0.0090793
                  95,            0.051181,             0.13925,            0.020077,             0.60385,             0.35679,             0.38209,             0.22437,              0.0591,             0.29024,            0.027498,           0.0090694,           0.0090694,           0.0090694
                  96,            0.051513,             0.14495,            0.020366,             0.61685,             0.35911,             0.38445,             0.22655,            0.059242,              0.2911,            0.027723,           0.0090595,           0.0090595,           0.0090595
                  97,            0.051221,             0.14219,            0.020203,             0.60137,             0.35105,             0.37814,              0.2249,            0.059077,             0.29191,            0.027515,           0.0090496,           0.0090496,           0.0090496
                  98,            0.051136,             0.14657,             0.02019,             0.61473,             0.35534,             0.38102,             0.22753,            0.059089,             0.29159,            0.027609,           0.0090397,           0.0090397,           0.0090397
                  99,            0.050908,             0.13808,            0.020022,             0.64694,             0.36396,             0.38372,              0.2257,            0.059124,             0.29178,            0.027664,           0.0090298,           0.0090298,           0.0090298
                 100,             0.05111,             0.14661,            0.020164,             0.64623,             0.35973,             0.38148,             0.22525,            0.058979,             0.29026,             0.02739,           0.0090199,           0.0090199,           0.0090199
                 101,             0.05088,             0.14244,            0.019862,             0.59596,             0.35891,             0.38592,              0.2321,            0.059068,             0.29146,            0.027708,             0.00901,             0.00901,             0.00901
                 102,            0.050682,             0.13981,            0.019872,             0.62021,             0.36383,             0.38577,             0.22916,            0.058997,             0.29157,             0.02757,           0.0090001,           0.0090001,           0.0090001
                 103,            0.050946,             0.14416,            0.019933,             0.59399,             0.35807,              0.3819,             0.22407,            0.059198,             0.29046,            0.027654,           0.0089902,           0.0089902,           0.0089902
                 104,            0.051001,             0.13969,            0.019858,             0.57901,             0.36119,             0.38684,             0.23369,            0.058771,             0.29093,            0.027524,           0.0089803,           0.0089803,           0.0089803
                 105,            0.050363,             0.14329,            0.019456,             0.59091,              0.3599,              0.3881,             0.22871,            0.058955,             0.29214,            0.027651,           0.0089704,           0.0089704,           0.0089704
                 106,            0.050572,             0.14141,            0.019596,             0.62679,              0.3603,             0.38752,             0.22947,            0.058823,             0.29188,            0.027624,           0.0089605,           0.0089605,           0.0089605
                 107,            0.050266,             0.13971,            0.019296,              0.5851,             0.35066,              0.3768,             0.22536,            0.059084,             0.29338,            0.027635,           0.0089506,           0.0089506,           0.0089506
                 108,            0.050345,             0.13889,            0.019287,             0.59191,             0.35057,             0.38205,             0.22438,            0.058977,             0.29208,            0.027611,           0.0089407,           0.0089407,           0.0089407
                 109,            0.050099,             0.14029,            0.019262,             0.61844,              0.3563,             0.39079,             0.23325,            0.058858,              0.2925,            0.027669,           0.0089308,           0.0089308,           0.0089308
                 110,            0.050282,              0.1412,            0.019439,             0.61253,             0.35773,             0.38528,             0.23004,               0.059,             0.29358,            0.027687,           0.0089209,           0.0089209,           0.0089209
